Daily Returns & Portfolio Return,,,,,,,
Daily return = Current Price / Previous Price − 1. Portfolio return = weighted sum of stock returns.,,,,,,,
,,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,Portfolio Return,NIFTY 50
05-Apr-2023,(0.24%),2.68%,1.24%,0.09%,0.90%,1.01%,0.91%
06-Apr-2023,0.67%,0.76%,(0.59%),(1.09%),(0.12%),0.06%,0.24%
10-Apr-2023,(0.71%),(0.47%),1.33%,(0.75%),0.40%,(0.08%),0.14%
11-Apr-2023,0.49%,0.29%,(1.52%),1.55%,(1.50%),(0.10%),0.56%
12-Apr-2023,0.44%,1.30%,0.87%,0.94%,1.58%,0.98%,0.51%
13-Apr-2023,0.38%,0.45%,(1.63%),0.99%,(2.74%),(0.38%),0.09%
17-Apr-2023,0.51%,(1.52%),(1.55%),0.26%,(9.42%),(1.94%),(0.68%)
18-Apr-2023,(1.14%),(0.42%),(0.28%),(0.49%),0.08%,(0.51%),(0.26%)
19-Apr-2023,0.50%,0.37%,(1.31%),(0.55%),(2.16%),(0.45%),(0.23%)
20-Apr-2023,(0.25%),0.37%,0.49%,0.28%,(0.71%),0.06%,0.03%
21-Apr-2023,0.13%,0.16%,1.81%,(0.98%),0.32%,0.33%,(0.00%)
24-Apr-2023,0.38%,0.81%,0.44%,2.16%,(0.09%),0.70%,0.68%
25-Apr-2023,0.77%,(1.42%),0.04%,0.96%,(0.11%),(0.03%),0.15%
26-Apr-2023,(0.59%),0.46%,0.70%,0.16%,0.22%,0.16%,0.25%
27-Apr-2023,0.63%,0.55%,(0.32%),0.37%,1.52%,0.52%,0.57%
28-Apr-2023,1.83%,0.39%,0.98%,(0.08%),0.52%,0.82%,0.84%
02-May-2023,0.85%,(0.02%),0.00%,0.48%,1.97%,0.58%,0.46%
03-May-2023,(0.86%),0.35%,(1.23%),0.08%,(0.65%),(0.46%),(0.32%)
04-May-2023,1.15%,2.05%,1.28%,(0.12%),0.35%,1.09%,0.92%
05-May-2023,(0.26%),(5.91%),0.31%,0.57%,(1.13%),(1.56%),(1.02%)
08-May-2023,1.23%,1.16%,0.62%,1.18%,0.52%,0.98%,1.08%
09-May-2023,0.31%,0.00%,1.00%,(0.37%),0.40%,0.28%,0.01%
10-May-2023,0.69%,0.46%,0.11%,0.18%,(0.59%),0.25%,0.27%
11-May-2023,(0.65%),0.07%,(0.14%),0.34%,(0.57%),(0.21%),(0.10%)
12-May-2023,0.16%,0.88%,(0.24%),0.50%,(0.87%),0.16%,0.10%
15-May-2023,0.20%,0.48%,(0.59%),0.20%,1.06%,0.24%,0.46%
16-May-2023,(1.42%),(0.57%),0.10%,0.06%,0.47%,(0.40%),(0.61%)
17-May-2023,(0.59%),(0.54%),(1.52%),(0.74%),(1.38%),(0.90%),(0.57%)
18-May-2023,(0.22%),0.40%,(0.28%),0.76%,(0.07%),0.09%,(0.28%)
19-May-2023,0.32%,0.12%,0.72%,0.82%,1.84%,0.65%,0.41%
22-May-2023,0.53%,(0.36%),2.35%,(0.41%),1.88%,0.74%,0.61%
23-May-2023,(0.02%),(0.23%),(0.05%),0.32%,0.56%,0.06%,0.18%
