Historical Adjusted Price Data,,,,,,
"Actual historical data, 02-Jan-2023 to 31-Dec-2025. Stocks: Yahoo Finance/yfinance-derived adjusted prices. NIFTY 50: ^NSEI historical index close (for an index, Close is the adjusted-price series).",,,,,,
,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,NIFTY 50
09-Nov-2023,"₹1,141.51",₹711.28,"₹3,075.85",₹922.23,"₹1,266.94","₹19,395.30"
10-Nov-2023,"₹1,143.66",₹714.08,"₹3,062.99",₹923.46,"₹1,261.45","₹19,425.35"
13-Nov-2023,"₹1,143.51",₹712.79,"₹3,061.24",₹919.38,"₹1,265.79","₹19,443.55"
15-Nov-2023,"₹1,164.19",₹720.26,"₹3,128.09",₹925.92,"₹1,299.84","₹19,675.45"
16-Nov-2023,"₹1,166.29",₹722.15,"₹3,214.05",₹920.91,"₹1,331.54","₹19,765.20"
17-Nov-2023,"₹1,163.74",₹720.59,"₹3,218.27",₹906.98,"₹1,324.76","₹19,731.80"
20-Nov-2023,"₹1,160.68",₹720.64,"₹3,234.03",₹906.59,"₹1,323.89","₹19,694.00"
21-Nov-2023,"₹1,175.28",₹726.74,"₹3,225.39",₹911.16,"₹1,326.10","₹19,783.40"
22-Nov-2023,"₹1,179.87",₹724.16,"₹3,243.73",₹907.87,"₹1,343.43","₹19,811.85"
23-Nov-2023,"₹1,183.48",₹728.35,"₹3,223.60",₹908.11,"₹1,335.55","₹19,802.00"
24-Nov-2023,"₹1,182.69",₹733.52,"₹3,176.60",₹914.41,"₹1,324.63","₹19,794.70"
28-Nov-2023,"₹1,182.93",₹731.87,"₹3,188.59",₹910.57,"₹1,329.51","₹19,889.70"
29-Nov-2023,"₹1,186.05",₹746.47,"₹3,228.66",₹924.45,"₹1,345.08","₹20,096.60"
30-Nov-2023,"₹1,174.56",₹746.30,"₹3,204.63",₹919.87,"₹1,340.98","₹20,133.15"
01-Dec-2023,"₹1,182.89",₹744.67,"₹3,226.73",₹931.43,"₹1,338.36","₹20,267.90"
04-Dec-2023,"₹1,195.68",₹770.53,"₹3,227.46",₹975.21,"₹1,349.46","₹20,686.80"
05-Dec-2023,"₹1,204.35",₹777.37,"₹3,245.06",₹997.11,"₹1,339.88","₹20,855.10"
06-Dec-2023,"₹1,215.89",₹779.34,"₹3,311.68",₹987.07,"₹1,358.63","₹20,937.70"
07-Dec-2023,"₹1,213.89",₹780.61,"₹3,321.60",₹982.89,"₹1,350.89","₹20,901.15"
08-Dec-2023,"₹1,213.24",₹791.50,"₹3,332.44",₹994.55,"₹1,374.16","₹20,969.40"
11-Dec-2023,"₹1,215.02",₹790.44,"₹3,347.33","₹1,000.70","₹1,371.72","₹20,997.10"
12-Dec-2023,"₹1,197.58",₹782.59,"₹3,374.16",₹999.32,"₹1,360.24","₹20,906.40"
13-Dec-2023,"₹1,202.47",₹780.82,"₹3,301.98",₹997.55,"₹1,335.32","₹20,926.35"
14-Dec-2023,"₹1,217.39",₹790.04,"₹3,369.70","₹1,016.98","₹1,383.65","₹21,182.70"
